Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.040,None,0.0013034410844629824,0.0,0.0003554839321262679,0.0007109678642525358,0.0028438714570101433
3,00:00:00.080,1.6197999660959483,0.09435333522924765,1.722319651151768,0.0076784529339273865,0.053393686605365434,0.2219878661484501
4,00:00:00.120,0.825003118262326,0.09143836698581224,6.756327613991847,0.006943786140866433,0.07507820646506778,0.1922931083515025
5,00:00:00.160,1.030933821074482,0.14025816033115304,0.33842070338420704,0.013295099061522419,0.13657692672291213,0.27090245520902456
6,00:00:00.200,1.437597525253908,0.20742092457420924,0.09064840269219832,0.026850886339937433,0.2194757796947578,0.3759361076879325
7,00:00:00.240,0.7816698362063679,0.1509858754384302,0.12086453692293109,0.018532562328182765,0.21248459569627454,0.22194046829083325
8,00:00:00.280,1.1052737926853908,0.19444971087306853,0.24172907384586217,0.04351123329225519,0.22404967295478245,0.31578822637216797
9,00:00:00.320,1.6483913792616445,0.23050368123360823,0.2115129396151294,0.04083325433690397,0.210185799601858,0.4404919897620628
10,00:00:00.360,0.6638498081490956,0.11480551079091224,0.10877808323063798,0.02976585458337283,0.15880652194520808,0.15584415584415584
11,00:00:00.400,0.6389426505042274,0.09910102063386735,0.0785619489999052,0.026921983126362688,0.13174234524599487,0.13863873352924447
12,00:00:00.440,1.5812152021302346,0.1677015198913009,0.18129680538439663,0.04637880367807375,0.1617688880462603,0.29495686794956866
13,00:00:00.480,0.9519808133326331,0.10739564571681359,0.11482131007678453,0.03481372641956584,0.12863778557209213,0.15873542515878283
14,00:00:00.520,0.9062456530810963,0.10293234745789491,0.060432268461465544,0.04028817897431036,0.1124040193383259,0.15610484406104844
15,00:00:00.560,0.8718501151173352,0.0815164154580213,0.12086453692293109,0.03779979144942649,0.08289885297184567,0.12385060195279174
16,00:00:00.600,1.1505778935373594,0.09771068347710683,0.09064840269219832,0.05415205232723481,0.10766423357664233,0.13131576452744337
17,00:00:00.640,0.8485618457160281,0.0659541188738269,0.12690776376907764,0.030168736373115936,0.06943786140866433,0.09825575883970045
18,00:00:00.680,1.2881645677816398,0.08928966410718235,0.07251872215375865,0.04765854583372831,0.08673807943880936,0.1334723670490094
19,00:00:00.720,0.5518269947800151,0.04238158435238728,0.17525357853825008,0.02682718741112902,0.04787183619300408,0.05244572945302872
20,00:00:00.760,1.0799964060019767,0.07121528106929566,0.10273485638449142,0.0725898189401839,0.061166935254526496,0.07988908901317661
21,00:00:00.800,1.5864049041669899,0.08075015009321578,0.09669162953834487,0.039221727177931556,0.08247227225329415,0.12055645084842165
22,00:00:00.840,0.8762302817850883,0.05133977944196922,0.060432268461465544,0.043795620437956206,0.044790975447909755,0.06543274244004171
23,00:00:00.880,0.7252926359460662,0.03866875217240181,0.048345814769172435,0.032183145321831454,0.03585647928713622,0.047966631908237745
24,00:00:00.920,1.0232429185342637,0.04373242329446709,0.0,0.034932221063607924,0.039506114323632574,0.056758934496160776
25,00:00:00.960,0.9406043765196249,0.03743640787436408,0.006043226846146554,0.0323727367522988,0.03777609252061807,0.04216039435017537
26,00:00:01.000,1.1800117829789512,0.04351123329225518,0.024172907384586217,0.047326760830410465,0.036614845009005595,0.04659209403734951
